C318_T,INGTOT_log,INGTRABW_log,INGTOT,ingtrabw,C335_1,C335_2,busca_otro_empleo,I342,trabaja_menos_35h,INGTOTP,ingreso_por_hora_log,ingreso_secundario_total,ingreso_por_hora,C377,SEGURO1,INGTOTP_log,C208,horas_secundaria,I339_1,tiene_pension,C207,whoraT,tiene_sis,C361_5,C328_T,C366,grupo_edad_35_44,jefe_hogar,C311_ ,empresa_registrada_sunat,tiene_seguro_salud,proteccion_social_completa
5.0,6.860663671448287,6.860663671448287,953.0,953.0,False,True,0,953.0,1,953.0,3.807072977743655,953.0,44.01847575057737,7,6,6.860663671448287,44.0,0.0,1500.0,0,2,5.0,0,2,10.0,3,True,0,True,0,0,0
20.0,6.329720905522696,6.329720905522696,560.0,560.0,False,True,0,1160.0,1,560.0,2.010428049722943,0.0,6.466512702078522,7,1,6.329720905522696,17.0,0.0,560.0,0,2,20.0,0,2,10.0,8,False,0,False,1,1,0
59.0,7.208600337960199,7.208600337960199,1350.0,1350.0,False,True,0,1160.0,0,1350.0,1.838066841667196,0.0,5.284377813441892,7,1,7.208600337960199,60.0,0.0,900.0,0,2,59.0,0,2,10.0,8,False,0,True,0,1,0
49.0,8.39185670010494,8.504310565585223,4410.0,4935.0,False,True,0,1160.0,0,3860.0,2.7847831205344207,400.0,15.196304849884529,7,1,8.258681496264236,23.0,20.0,2100.0,1,1,75.0,0,2,20.0,8,False,0,False,1,1,1
40.0,8.006700845440367,8.02322468471667,3000.0,3050.0,False,True,0,1160.0,0,3000.0,2.923682937748803,0.0,17.60969976905312,7,1,8.006700845440367,61.0,0.0,3000.0,1,2,40.0,0,2,10.0,12,False,0,False,0,1,1
40.0,7.755338812846501,7.755338812846501,2333.0,2333.0,True,False,1,1160.0,0,2333.0,2.6720759446028497,0.0,13.469976905311778,7,1,7.755338812846501,52.0,0.0,2333.0,1,1,40.0,0,2,10.0,11,False,1,False,1,1,1
15.0,6.55250788703459,6.55250788703459,700.0,700.0,True,False,1,200.0,1,700.0,2.46619272909678,200.0,10.77752117013087,3,4,6.55250788703459,51.0,0.0,1500.0,0,2,15.0,0,2,10.0,6,False,0,True,0,1,0
53.0,7.378383712996714,7.458186157340487,1600.0,1733.0,False,True,0,1160.0,0,1600.0,2.14610989853566,0.0,7.551527299664473,5,1,7.378383712996714,42.0,0.0,1600.0,1,1,53.0,0,2,10.0,6,True,1,False,1,1,1
86.0,7.543273346705446,7.543273346705446,1887.0,1887.0,False,True,0,1281.0,0,1887.0,1.8029308800781576,1281.0,5.067404264461034,7,5,7.543273346705446,50.0,0.0,1500.0,0,2,86.0,1,1,10.0,6,False,0,True,0,1,0
34.0,7.313886831633462,7.313886831633462,1500.0,1500.0,False,True,0,1500.0,1,1500.0,2.414916230825724,1500.0,10.188833038989268,7,5,7.313886831633462,56.0,0.0,1500.0,1,2,34.0,1,1,10.0,12,False,0,True,1,1,1
