C208,C318_T,whoraT,INGTOT,INGTOTP,ingtrabw,C207_bin,C361_1_bin,C361_5_bin,C364_1_bin,C364_2_bin,C375_1_bin,C375_2_bin,C375_3_bin,C375_4_bin,C375_5_bin,C375_6_bin,C335_bin,nivel_educativo_ord,tamano_empresa_ord,C203_parentesco_2.0,C203_parentesco_3.0,C203_parentesco_4.0,C203_parentesco_5.0,C203_parentesco_6.0,C203_parentesco_7.0,C203_parentesco_8.0,C203_parentesco_11.0,C310_cat_ocup_2.0,C310_cat_ocup_3.0,C310_cat_ocup_4.0,C310_cat_ocup_6.0,C310_cat_ocup_7.0,C310_cat_ocup_8.0,C311_tipo_entidad_2.0,C311_tipo_entidad_3.0,C311_tipo_entidad_4.0,C311_tipo_entidad_5.0,C312_registro_sunat_2.0,C312_registro_sunat_3.0,C313_contabilidad_2.0,seguro_salud_2,seguro_salud_3,seguro_salud_4,seguro_salud_5,seguro_salud_6,C376_lengua_2,C376_lengua_3,C376_lengua_5,C376_lengua_9,C376_lengua_10,C376_lengua_11,C376_lengua_12,C376_lengua_13,C376_lengua_14,C377_etnia_2,C377_etnia_3,C377_etnia_4,C377_etnia_5,C377_etnia_6,C377_etnia_7,C377_etnia_8,C377_etnia_9,target_subempleo_horas
31,40.0,40,690.0,690.0,690.0,1,0,1,0,0,0,0,0,0,0,0,0.0,6.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
43,28.0,35,3900.0,2400.0,3983.0,1,0,1,0,0,0,0,0,0,0,0,0.0,6.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
28,48.0,48,1200.0,1200.0,1370.0,1,1,0,1,0,0,0,0,0,0,0,1.0,8.0,4.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
23,44.0,44,1025.0,1025.0,1025.0,1,0,1,1,0,0,0,0,0,0,0,0.0,8.0,2.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
21,48.0,48,1350.0,1350.0,1520.0,1,1,0,1,0,0,0,0,0,0,0,0.0,6.0,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
59,46.0,46,2500.0,2500.0,2500.0,1,1,0,1,0,0,0,0,0,0,0,0.0,6.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
51,42.0,42,1608.0,1608.0,1608.0,0,0,1,0,0,0,0,0,0,0,0,0.0,6.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
25,45.0,45,1100.0,1100.0,1100.0,1,0,1,0,0,0,0,0,0,0,0,0.0,6.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
27,45.0,45,1250.0,1250.0,1334.0,0,1,0,1,0,0,0,0,0,0,0,0.0,11.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
58,45.0,45,1500.0,1500.0,1584.0,1,1,0,1,0,0,0,0,0,0,0,0.0,6.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
53,20.0,20,346.0,346.0,346.0,0,1,0,0,1,0,0,0,0,0,0,1.0,6.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
21,40.0,40,1025.0,1025.0,1025.0,1,0,1,0,0,0,0,0,0,0,0,0.0,10.0,2.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
66,25.0,25,200.0,200.0,200.0,0,1,0,1,0,0,0,0,0,0,0,0.0,5.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
